Namespace(activation='maxmin', batch_size=500, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=2000, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_max=0.2, lr_min=0.0, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar100_l1_4_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
0 	 17.4 	 0.2000 	 0.0282
1 	 15.2 	 0.2000 	 -0.6139
2 	 15.2 	 0.2000 	 -0.5777
3 	 16.0 	 0.2000 	 -0.0617
4 	 15.2 	 0.2000 	 -0.1142
5 	 15.2 	 0.2000 	 0.0636
6 	 16.0 	 0.2000 	 -0.0058
7 	 15.1 	 0.2000 	 0.0127
8 	 15.2 	 0.2000 	 -0.1115
9 	 15.2 	 0.2000 	 -0.0106
10 	 16.1 	 0.2000 	 -0.1417
11 	 15.2 	 0.2000 	 -0.1117
12 	 15.2 	 0.2000 	 0.0099
13 	 16.0 	 0.2000 	 -0.0131
14 	 15.2 	 0.2000 	 -0.5819
15 	 15.2 	 0.2000 	 0.0052
16 	 15.9 	 0.2000 	 -0.0717
17 	 15.2 	 0.2000 	 0.0361
18 	 15.2 	 0.2000 	 -0.0099
19 	 15.2 	 0.2000 	 -0.0206
20 	 16.0 	 0.2000 	 -0.0389
21 	 15.2 	 0.2000 	 -0.0242
22 	 15.2 	 0.2000 	 -0.0301
23 	 16.0 	 0.2000 	 -0.2711
24 	 15.2 	 0.2000 	 -0.0139
25 	 15.2 	 0.2000 	 -0.0224
26 	 16.0 	 0.2000 	 0.0036
27 	 15.4 	 0.2000 	 -0.1891
28 	 15.2 	 0.2000 	 -0.0436
29 	 15.1 	 0.2000 	 -0.0272
30 	 16.1 	 0.2000 	 -0.0675
31 	 15.2 	 0.2000 	 -0.0069
32 	 15.2 	 0.2000 	 -0.0680
33 	 16.0 	 0.2000 	 -0.0831
34 	 15.2 	 0.2000 	 -0.0852
