Namespace(activation='maxmin', batch_size=500, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=200, epsilon=36, init_channels=32, l='l2', lln=False, loss_scale='1.0', lr_max=0.01, lr_min=0.0, momentum=0.9, n=10000, opt_level='O2', out_dir='ISO_cifar100_l2_4_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Valid Loss
0 	 19.3 	 0.0100 	 -0.0009 	 -0.0001
1 	 17.4 	 0.0100 	 -0.0022 	 -0.0003
2 	 17.4 	 0.0100 	 -0.0092 	 -0.0011
3 	 17.1 	 0.0100 	 -0.0266 	 -0.0049
4 	 17.1 	 0.0100 	 -0.0872 	 -0.0240
5 	 17.8 	 0.0100 	 -1.0858 	 -0.4607
6 	 17.3 	 0.0100 	 -1.7490 	 -0.7359
7 	 17.2 	 0.0100 	 -2.5926 	 -0.8190
8 	 16.5 	 0.0100 	 -3.1113 	 -0.5206
9 	 17.2 	 0.0100 	 -2.4051 	 -0.8890
10 	 17.2 	 0.0100 	 -2.4059 	 -0.8512
11 	 17.4 	 0.0100 	 -3.7518 	 -0.8963
12 	 17.4 	 0.0100 	 -4.9334 	 -0.9319
13 	 17.2 	 0.0100 	 -3.0147 	 -1.0035
14 	 16.7 	 0.0100 	 -3.3147 	 -0.7924
15 	 17.4 	 0.0100 	 -1.5702 	 -0.5462
16 	 17.3 	 0.0100 	 -3.7725 	 -1.0097
17 	 16.6 	 0.0100 	 -2.9602 	 -0.7689
18 	 16.6 	 0.0100 	 -4.0719 	 -0.6312
19 	 16.5 	 0.0100 	 -1.7929 	 -0.5388
20 	 17.4 	 0.0100 	 -2.3048 	 -0.7259
21 	 16.6 	 0.0100 	 -2.0184 	 -0.9537
22 	 16.5 	 0.0100 	 -3.5734 	 -0.9215
23 	 16.5 	 0.0100 	 -3.4216 	 -0.9555
24 	 16.6 	 0.0100 	 -3.3282 	 -0.8859
25 	 17.4 	 0.0100 	 -3.5626 	 -0.8498
26 	 16.6 	 0.0100 	 -2.2083 	 -0.8080
27 	 16.5 	 0.0100 	 -0.9850 	 -1.0095
28 	 17.8 	 0.0100 	 -4.5403 	 -1.0148
29 	 16.6 	 0.0100 	 -5.9587 	 -0.9810
30 	 17.4 	 0.0100 	 -2.3564 	 -0.9997
31 	 18.0 	 0.0100 	 -2.4771 	 -1.0622
32 	 17.5 	 0.0100 	 -2.9402 	 -1.1253
33 	 16.6 	 0.0100 	 -3.7220 	 -0.9603
34 	 16.5 	 0.0100 	 -2.5150 	 -0.9036
35 	 17.4 	 0.0100 	 -2.2458 	 -0.9792
36 	 16.5 	 0.0100 	 -3.4792 	 -0.7530
37 	 16.5 	 0.0100 	 -3.6314 	 -1.0689
38 	 16.6 	 0.0100 	 -2.5552 	 -0.9704
39 	 16.5 	 0.0100 	 -3.1752 	 -1.0108
40 	 17.4 	 0.0100 	 -2.8743 	 -1.0408
41 	 16.5 	 0.0100 	 -1.4473 	 -0.8644
42 	 16.5 	 0.0100 	 -3.8000 	 -0.8403
43 	 16.6 	 0.0100 	 -3.2083 	 -1.0560
44 	 16.5 	 0.0100 	 -1.5470 	 -0.9124
45 	 17.3 	 0.0100 	 -2.4018 	 -0.9979
46 	 16.5 	 0.0100 	 -3.2053 	 -1.0761
47 	 16.5 	 0.0100 	 -3.1395 	 -0.3931
48 	 16.6 	 0.0100 	 -1.9991 	 -1.0260
49 	 16.6 	 0.0100 	 -4.3811 	 -1.1113
50 	 17.4 	 0.0100 	 -2.4026 	 -0.8974
51 	 16.6 	 0.0100 	 -4.2059 	 -1.0324
52 	 18.0 	 0.0100 	 -3.4263 	 -1.1739
53 	 16.5 	 0.0100 	 -2.2344 	 -1.1045
54 	 16.5 	 0.0100 	 -3.7862 	 -0.8905
55 	 17.4 	 0.0100 	 -2.3883 	 -0.9569
56 	 16.6 	 0.0100 	 -4.0293 	 -1.1366
57 	 16.5 	 0.0100 	 -3.2527 	 -0.8478
58 	 16.5 	 0.0100 	 -2.2218 	 -1.0851
59 	 16.5 	 0.0100 	 -4.3121 	 -1.0883
60 	 17.4 	 0.0100 	 -1.6923 	 -1.0944
61 	 16.6 	 0.0100 	 -4.1171 	 -1.0218
62 	 16.6 	 0.0100 	 -1.4862 	 -0.8751
63 	 16.6 	 0.0100 	 -1.4595 	 -0.6653
64 	 16.5 	 0.0100 	 -1.9839 	 -0.9916
65 	 17.3 	 0.0100 	 -3.7908 	 -1.0691
66 	 16.6 	 0.0100 	 -2.8310 	 -0.9525
67 	 16.6 	 0.0100 	 -3.5433 	 -1.0735
68 	 16.6 	 0.0100 	 -3.6694 	 -0.9589
69 	 16.5 	 0.0100 	 -2.6496 	 -1.0591
70 	 17.3 	 0.0100 	 -1.9001 	 -0.7882
71 	 16.5 	 0.0100 	 -2.5493 	 -0.9672
72 	 16.6 	 0.0100 	 -1.5065 	 -1.0275
73 	 16.6 	 0.0100 	 -3.7325 	 -1.0792
74 	 16.6 	 0.0100 	 -3.4010 	 -0.9032
75 	 17.3 	 0.0100 	 -4.6296 	 -1.1719
76 	 16.6 	 0.0100 	 -3.3681 	 -1.0485
77 	 16.6 	 0.0100 	 -3.9622 	 -1.0941
78 	 16.6 	 0.0100 	 -4.6374 	 -1.0491
79 	 16.6 	 0.0100 	 -4.2589 	 -1.1018
80 	 17.4 	 0.0100 	 -5.1675 	 -1.1420
81 	 16.5 	 0.0100 	 -3.1940 	 -1.0443
82 	 16.5 	 0.0100 	 -3.7986 	 -1.1163
83 	 16.5 	 0.0100 	 -2.3531 	 -1.1735
84 	 16.6 	 0.0100 	 -4.5202 	 -1.0556
85 	 17.4 	 0.0100 	 -2.0929 	 -1.0364
86 	 16.6 	 0.0100 	 -2.6479 	 -1.0888
87 	 16.6 	 0.0100 	 -2.1896 	 -0.8430
88 	 16.6 	 0.0100 	 -3.1132 	 -1.1243
89 	 16.5 	 0.0100 	 -2.3189 	 -1.1178
90 	 17.4 	 0.0100 	 -2.1382 	 -1.0799
91 	 16.5 	 0.0100 	 -5.2015 	 -1.0264
