Namespace(activation='maxmin', batch_size=500, block_size=2, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.2, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar10_l1_2_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
0 	 10.7 	 0.2000 	 0.0324
1 	 9.5 	 0.2000 	 0.0015
2 	 9.5 	 0.2000 	 -0.1054
3 	 10.0 	 0.2000 	 -0.0531
4 	 9.5 	 0.2000 	 0.0197
5 	 9.5 	 0.2000 	 -0.0398
6 	 10.0 	 0.2000 	 -0.0634
7 	 9.4 	 0.2000 	 -0.0741
8 	 9.5 	 0.2000 	 -0.1301
9 	 9.5 	 0.2000 	 -0.1414
10 	 10.0 	 0.2000 	 -0.1193
11 	 9.5 	 0.2000 	 -0.1695
12 	 9.5 	 0.2000 	 -0.1470
13 	 10.0 	 0.2000 	 -0.1264
14 	 9.5 	 0.2000 	 -0.1788
15 	 9.5 	 0.2000 	 -0.2146
16 	 9.9 	 0.2000 	 -0.2433
17 	 9.4 	 0.2000 	 -0.2439
18 	 9.5 	 0.2000 	 -0.1938
19 	 9.5 	 0.2000 	 -0.2552
20 	 10.0 	 0.2000 	 -0.1880
21 	 9.5 	 0.2000 	 -0.1997
22 	 9.5 	 0.2000 	 -0.2064
23 	 9.9 	 0.2000 	 -0.2152
24 	 9.5 	 0.2000 	 -0.2214
25 	 9.5 	 0.2000 	 -0.2337
26 	 10.0 	 0.2000 	 -0.2232
27 	 9.5 	 0.2000 	 -0.2603
28 	 9.5 	 0.2000 	 -0.2522
29 	 9.5 	 0.2000 	 -0.2585
30 	 9.9 	 0.2000 	 -0.2850
31 	 9.5 	 0.2000 	 -0.2576
32 	 9.4 	 0.2000 	 -0.2066
33 	 9.9 	 0.2000 	 -0.2766
34 	 9.5 	 0.2000 	 -0.2276
35 	 9.5 	 0.2000 	 -0.2438
36 	 9.9 	 0.2000 	 -0.2640
37 	 9.4 	 0.2000 	 -0.2618
38 	 9.5 	 0.2000 	 -0.2665
39 	 9.5 	 0.2000 	 -0.2573
40 	 10.0 	 0.2000 	 -0.2734
41 	 9.5 	 0.2000 	 -0.2601
42 	 9.5 	 0.2000 	 -0.2764
43 	 9.9 	 0.2000 	 -0.1701
44 	 9.5 	 0.2000 	 -0.2448
45 	 9.5 	 0.2000 	 -0.3011
46 	 9.9 	 0.2000 	 -0.3008
47 	 9.5 	 0.2000 	 -0.2632
48 	 9.5 	 0.2000 	 -0.2609
49 	 9.5 	 0.2000 	 -0.3329
50 	 9.9 	 0.2000 	 -0.2723
51 	 9.5 	 0.2000 	 -0.2166
52 	 9.5 	 0.2000 	 -0.3028
53 	 9.9 	 0.2000 	 -0.2999
54 	 9.5 	 0.2000 	 -0.2548
55 	 9.5 	 0.2000 	 -0.2937
56 	 9.9 	 0.2000 	 -0.3306
57 	 9.5 	 0.2000 	 -0.3249
58 	 9.5 	 0.2000 	 -0.2944
59 	 9.5 	 0.2000 	 -0.2503
60 	 9.9 	 0.2000 	 -0.2887
61 	 9.5 	 0.2000 	 -0.3215
62 	 9.5 	 0.2000 	 -0.3161
63 	 10.0 	 0.2000 	 -0.3525
64 	 9.5 	 0.2000 	 -0.2947
65 	 9.5 	 0.2000 	 -0.3602
66 	 9.9 	 0.2000 	 -0.3419
67 	 9.5 	 0.2000 	 -0.3649
68 	 9.5 	 0.2000 	 -0.3225
69 	 9.5 	 0.2000 	 -0.3623
70 	 10.0 	 0.2000 	 -0.3516
71 	 9.5 	 0.2000 	 -0.3537
72 	 9.5 	 0.2000 	 -0.3777
73 	 10.0 	 0.2000 	 -0.4080
74 	 9.7 	 0.2000 	 -0.3945
75 	 9.7 	 0.2000 	 -0.3571
76 	 10.0 	 0.2000 	 -0.3942
77 	 9.5 	 0.2000 	 -0.4535
78 	 9.5 	 0.2000 	 -0.4687
79 	 9.5 	 0.2000 	 -0.4168
80 	 10.0 	 0.2000 	 -0.4739
81 	 9.5 	 0.2000 	 -0.4923
82 	 9.5 	 0.2000 	 -0.4337
83 	 9.9 	 0.2000 	 -0.3478
84 	 9.5 	 0.2000 	 -0.4994
85 	 9.5 	 0.2000 	 -0.4985
86 	 10.0 	 0.2000 	 -0.5529
87 	 9.5 	 0.2000 	 -0.5293
88 	 9.5 	 0.2000 	 -0.5686
89 	 9.5 	 0.2000 	 -0.5579
90 	 10.0 	 0.2000 	 -0.6277
91 	 9.5 	 0.2000 	 -0.6022
92 	 9.5 	 0.2000 	 -0.6114
93 	 9.9 	 0.2000 	 -0.6059
94 	 9.5 	 0.2000 	 -0.6457
95 	 9.5 	 0.2000 	 -0.7721
96 	 9.9 	 0.2000 	 -0.8148
97 	 9.5 	 0.2000 	 -0.8236
98 	 9.5 	 0.2000 	 -0.8424
99 	 9.5 	 0.2000 	 -0.8439
100 	 10.0 	 0.2000 	 -0.9647
101 	 9.5 	 0.2000 	 -0.9265
102 	 9.5 	 0.2000 	 -0.8136
103 	 9.9 	 0.2000 	 -1.0552
104 	 9.5 	 0.2000 	 -0.9829
105 	 9.5 	 0.2000 	 -1.0894
106 	 9.9 	 0.2000 	 -1.0490
107 	 9.5 	 0.2000 	 -1.0639
108 	 9.5 	 0.2000 	 -1.0036
109 	 9.5 	 0.2000 	 -1.1445
110 	 10.0 	 0.2000 	 -1.2532
111 	 9.5 	 0.2000 	 -1.1967
112 	 9.5 	 0.2000 	 -1.1209
113 	 10.0 	 0.2000 	 -1.1839
114 	 9.5 	 0.2000 	 -1.2136
115 	 9.4 	 0.2000 	 -1.2590
116 	 9.9 	 0.2000 	 -1.2553
117 	 9.4 	 0.2000 	 -1.3724
118 	 9.5 	 0.2000 	 -1.3224
119 	 9.5 	 0.2000 	 -1.4460
120 	 10.0 	 0.2000 	 -1.4874
121 	 9.6 	 0.2000 	 -1.4830
122 	 9.5 	 0.2000 	 -1.5589
123 	 10.0 	 0.2000 	 -1.6065
124 	 9.5 	 0.2000 	 -1.6274
125 	 9.5 	 0.2000 	 -1.6346
126 	 10.0 	 0.2000 	 -1.6872
127 	 9.6 	 0.2000 	 -1.7028
128 	 9.5 	 0.2000 	 -1.5517
129 	 9.5 	 0.2000 	 -1.5921
130 	 10.0 	 0.2000 	 -1.5902
131 	 9.5 	 0.2000 	 -1.7379
132 	 9.5 	 0.2000 	 -1.7755
133 	 10.0 	 0.2000 	 -1.8236
134 	 9.5 	 0.2000 	 -1.8400
135 	 9.5 	 0.2000 	 -1.9128
136 	 9.9 	 0.2000 	 -1.8742
137 	 9.5 	 0.2000 	 -1.9554
138 	 9.5 	 0.2000 	 -1.8725
139 	 9.5 	 0.2000 	 -1.9714
140 	 10.0 	 0.2000 	 -2.0075
141 	 9.5 	 0.2000 	 -1.9465
142 	 9.5 	 0.2000 	 -2.0504
143 	 9.9 	 0.2000 	 -2.0905
144 	 9.5 	 0.2000 	 -2.1767
145 	 9.5 	 0.2000 	 -2.1327
146 	 9.9 	 0.2000 	 -2.1709
147 	 9.5 	 0.2000 	 -2.1482
148 	 9.4 	 0.2000 	 -2.0538
149 	 9.4 	 0.2000 	 -2.1673
150 	 10.0 	 0.2000 	 -2.2533
151 	 9.5 	 0.2000 	 -2.2362
152 	 9.5 	 0.2000 	 -2.2987
153 	 10.0 	 0.2000 	 -2.2493
154 	 9.5 	 0.2000 	 -2.1562
155 	 9.4 	 0.2000 	 -2.2403
156 	 9.9 	 0.2000 	 -2.3434
157 	 9.5 	 0.2000 	 -2.3542
158 	 9.5 	 0.2000 	 -2.3785
159 	 9.5 	 0.2000 	 -2.4241
160 	 9.9 	 0.2000 	 -2.4571
161 	 9.5 	 0.2000 	 -2.5076
162 	 9.5 	 0.2000 	 -2.2180
163 	 9.9 	 0.2000 	 -2.4528
164 	 9.5 	 0.2000 	 -2.5392
165 	 9.5 	 0.2000 	 -2.5165
166 	 9.9 	 0.2000 	 -2.6173
167 	 9.5 	 0.2000 	 -2.6049
168 	 9.5 	 0.2000 	 -2.5520
169 	 9.6 	 0.2000 	 -2.5270
170 	 10.0 	 0.2000 	 -2.6041
171 	 9.6 	 0.2000 	 -2.5313
172 	 9.5 	 0.2000 	 -2.6006
173 	 10.0 	 0.2000 	 -2.6654
174 	 9.5 	 0.2000 	 -2.7205
175 	 9.5 	 0.2000 	 -2.6652
176 	 10.0 	 0.2000 	 -2.6637
177 	 9.5 	 0.2000 	 -2.8193
178 	 9.5 	 0.2000 	 -2.7698
179 	 9.4 	 0.2000 	 -2.7253
180 	 9.9 	 0.2000 	 -2.8280
181 	 9.5 	 0.2000 	 -2.7844
182 	 9.5 	 0.2000 	 -2.7793
183 	 10.0 	 0.2000 	 -2.7817
184 	 9.5 	 0.2000 	 -2.8816
185 	 9.5 	 0.2000 	 -2.8367
186 	 9.9 	 0.2000 	 -2.8012
187 	 9.5 	 0.2000 	 -2.8047
188 	 9.4 	 0.2000 	 -2.9031
189 	 9.5 	 0.2000 	 -2.9011
190 	 10.0 	 0.2000 	 -2.8794
191 	 9.4 	 0.2000 	 -3.0346
192 	 9.5 	 0.2000 	 -3.0242
193 	 10.0 	 0.2000 	 -2.9928
194 	 9.5 	 0.2000 	 -2.9485
195 	 9.5 	 0.2000 	 -2.9925
196 	 10.0 	 0.2000 	 -3.0091
197 	 9.5 	 0.2000 	 -3.0862
198 	 9.5 	 0.2000 	 -3.0826
199 	 9.5 	 0.2000 	 -3.1686
