Namespace(activation='maxmin', batch_size=128, block_size=1, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, opt_level='O2', out_dir='LNNIso_cifar10_N=80_n=16_1_soc_32_maxmin_cr0.0', sample_size=80, seed=0, subsample_size=16, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 23.5 	 0.1000 	 -0.0348 	 -0.0602
1 	 20.3 	 0.1000 	 0.0242 	 0.0528
2 	 20.3 	 0.1000 	 -0.0391 	 -0.0484
3 	 20.3 	 0.1000 	 -0.0523 	 -0.0438
4 	 20.3 	 0.1000 	 0.0481 	 -0.0493
5 	 21.0 	 0.1000 	 0.0553 	 -0.0832
6 	 20.2 	 0.1000 	 0.0416 	 -0.0492
7 	 21.0 	 0.1000 	 -0.0810 	 -0.0973
8 	 21.0 	 0.1000 	 -0.0564 	 -0.2162
9 	 20.2 	 0.1000 	 0.0694 	 0.1062
10 	 20.3 	 0.1000 	 -0.0209 	 0.2909
11 	 20.2 	 0.1000 	 -0.0715 	 0.0674
12 	 20.2 	 0.1000 	 0.1013 	 -0.0888
13 	 21.1 	 0.1000 	 0.1618 	 -0.3175
14 	 20.2 	 0.1000 	 0.1814 	 -0.2158
15 	 20.1 	 0.1000 	 -0.2784 	 0.0301
16 	 20.2 	 0.1000 	 -0.0060 	 -0.0326
17 	 20.2 	 0.1000 	 0.0552 	 0.1401
18 	 20.2 	 0.1000 	 -0.0854 	 0.0015
19 	 20.1 	 0.1000 	 0.1081 	 -0.1231
20 	 20.1 	 0.1000 	 -0.1931 	 -0.1814
21 	 20.1 	 0.1000 	 -0.0787 	 -0.0159
22 	 20.2 	 0.1000 	 0.0586 	 -0.0155
23 	 20.1 	 0.1000 	 -0.1320 	 0.2913
24 	 20.2 	 0.1000 	 0.0938 	 0.0914
25 	 20.1 	 0.1000 	 -0.0654 	 0.2209
26 	 20.2 	 0.1000 	 -0.0187 	 0.0453
27 	 20.1 	 0.1000 	 -0.0016 	 0.0926
28 	 20.2 	 0.1000 	 -0.2348 	 0.1947
29 	 20.2 	 0.1000 	 0.0198 	 0.3553
30 	 20.9 	 0.1000 	 -0.3356 	 -0.4612
31 	 20.2 	 0.1000 	 0.4687 	 0.1322
32 	 20.2 	 0.1000 	 0.3932 	 -0.3661
33 	 20.2 	 0.1000 	 -0.0852 	 0.2833
34 	 21.0 	 0.1000 	 -0.4399 	 -0.7106
35 	 20.2 	 0.1000 	 -0.1621 	 -0.2856
36 	 20.2 	 0.1000 	 -0.2030 	 -0.4009
37 	 20.2 	 0.1000 	 -0.1598 	 -0.0015
38 	 20.2 	 0.1000 	 -0.2107 	 -0.1712
39 	 20.2 	 0.1000 	 -0.3012 	 -0.2494
40 	 20.2 	 0.1000 	 0.0887 	 -0.0627
41 	 20.2 	 0.1000 	 0.2509 	 0.0119
42 	 20.2 	 0.1000 	 -0.0596 	 0.1798
43 	 20.2 	 0.1000 	 -0.0677 	 0.0480
44 	 20.2 	 0.1000 	 -0.0227 	 -0.0076
45 	 20.2 	 0.1000 	 -0.1300 	 0.0115
46 	 20.2 	 0.1000 	 0.0616 	 -0.0989
47 	 20.2 	 0.1000 	 -0.0784 	 -0.0450
48 	 20.2 	 0.1000 	 -0.0096 	 -0.0723
49 	 20.2 	 0.1000 	 -0.0476 	 -0.0303
50 	 20.2 	 0.1000 	 0.0353 	 0.0298
51 	 20.2 	 0.1000 	 0.0799 	 0.1261
52 	 20.2 	 0.1000 	 0.1555 	 -0.0203
53 	 20.2 	 0.1000 	 -0.0011 	 0.1585
54 	 20.2 	 0.1000 	 -0.0206 	 -0.1260
55 	 20.2 	 0.1000 	 0.1148 	 0.3004
56 	 20.2 	 0.1000 	 -0.0969 	 -0.4438
57 	 20.2 	 0.1000 	 -0.1923 	 0.2945
58 	 20.2 	 0.1000 	 -0.0480 	 -0.0541
59 	 20.2 	 0.1000 	 -0.2756 	 0.1945
60 	 20.2 	 0.1000 	 -0.1637 	 0.1389
61 	 20.2 	 0.1000 	 -0.2783 	 -0.1926
62 	 20.2 	 0.1000 	 0.3597 	 -0.2685
63 	 20.2 	 0.1000 	 -0.1074 	 -0.2544
64 	 20.2 	 0.1000 	 0.0635 	 0.2142
65 	 20.2 	 0.1000 	 -0.2678 	 0.2177
66 	 20.2 	 0.1000 	 0.3029 	 -0.2080
67 	 20.2 	 0.1000 	 0.2276 	 -0.5622
68 	 22.3 	 0.1000 	 -0.1429 	 -0.8709
