Namespace(activation='maxmin', batch_size=128, block_size=1, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, opt_level='O2', out_dir='LNNIso_cifar10_N=80_n=16_1_soc_32_maxmin_cr0.0', sample_size=80, seed=0, subsample_size=16, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 23.3 	 0.1000 	 -0.0012 	 -0.0068
1 	 20.2 	 0.1000 	 -0.0014 	 -0.0028
2 	 20.3 	 0.1000 	 -0.0016 	 -0.0009
3 	 20.3 	 0.1000 	 -0.0018 	 -0.0003
4 	 20.2 	 0.1000 	 -0.0068 	 -0.0010
5 	 20.2 	 0.1000 	 -0.0001 	 -0.0006
6 	 20.2 	 0.1000 	 -0.0024 	 -0.0023
7 	 20.2 	 0.1000 	 -0.0014 	 -0.0002
8 	 21.1 	 0.1000 	 -0.0077 	 -0.0351
9 	 20.2 	 0.1000 	 -0.0011 	 -0.0001
10 	 21.1 	 0.1000 	 -0.0094 	 -0.0586
11 	 20.2 	 0.1000 	 -0.0026 	 -0.0572
12 	 20.2 	 0.1000 	 -0.0436 	 -0.0037
13 	 21.1 	 0.1000 	 -0.0011 	 -0.2822
14 	 20.1 	 0.1000 	 -0.0740 	 -0.0973
15 	 20.1 	 0.1000 	 -0.3111 	 -0.0001
16 	 20.1 	 0.1000 	 -0.0345 	 -0.0065
17 	 20.1 	 0.1000 	 -0.0338 	 -0.1023
18 	 20.1 	 0.1000 	 -0.0003 	 -0.0058
19 	 20.1 	 0.1000 	 -0.2174 	 -0.2668
20 	 20.2 	 0.1000 	 -0.3834 	 -0.1054
21 	 20.1 	 0.1000 	 -0.0293 	 -0.0050
22 	 20.1 	 0.1000 	 -0.0701 	 -0.0282
23 	 21.0 	 0.1000 	 -0.0055 	 -0.3962
24 	 20.2 	 0.1000 	 -0.0129 	 -0.0036
25 	 21.0 	 0.1000 	 -0.0000 	 -0.4471
26 	 20.3 	 0.1000 	 -0.2822 	 -0.0778
27 	 20.2 	 0.1000 	 -0.0125 	 -0.1057
28 	 20.2 	 0.1000 	 -0.2183 	 -0.1936
29 	 21.3 	 0.1000 	 -0.0533 	 -0.6151
30 	 21.2 	 0.1000 	 -0.7478 	 -0.9487
31 	 20.1 	 0.1000 	 -1.7979 	 -0.1343
32 	 21.0 	 0.1000 	 -0.4617 	 -1.6957
33 	 20.2 	 0.1000 	 -0.1724 	 -0.0273
34 	 22.4 	 0.1000 	 -1.4602 	 -1.8973
35 	 20.1 	 0.1000 	 -0.9405 	 -0.0388
36 	 20.1 	 0.1000 	 -0.0152 	 -0.2718
37 	 20.2 	 0.1000 	 -0.1245 	 -0.0893
38 	 20.1 	 0.1000 	 -0.0410 	 -0.0365
39 	 20.1 	 0.1000 	 -0.2121 	 -0.7816
40 	 20.2 	 0.1000 	 -0.0174 	 -0.2103
41 	 20.1 	 0.1000 	 -2.6921 	 -1.0234
42 	 21.1 	 0.1000 	 -0.2101 	 -2.3247
43 	 20.2 	 0.1000 	 -1.3817 	 -0.0018
