Namespace(activation='maxmin', batch_size=128, block_size=1, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=50, opt_level='O2', out_dir='LNNIso_cifar10_n=50_1_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 24.4 	 0.1000 	 -0.0669 	 -0.0913
1 	 21.8 	 0.1000 	 -0.0421 	 -0.2835
2 	 21.6 	 0.1000 	 -0.4076 	 -0.4221
3 	 20.9 	 0.1000 	 -0.6518 	 -0.0411
4 	 21.7 	 0.1000 	 -0.6925 	 -0.8464
5 	 21.5 	 0.1000 	 -0.2382 	 -1.3944
6 	 20.8 	 0.1000 	 -0.1314 	 -0.1797
7 	 20.8 	 0.1000 	 -0.6864 	 -0.1878
8 	 20.8 	 0.1000 	 -0.0990 	 -0.3704
9 	 20.8 	 0.1000 	 -0.9490 	 -0.1987
10 	 20.8 	 0.1000 	 -0.4264 	 -0.6492
11 	 20.8 	 0.1000 	 -0.2903 	 -0.1081
12 	 20.8 	 0.1000 	 -0.3358 	 -0.6692
13 	 20.8 	 0.1000 	 -0.4060 	 -0.9621
14 	 20.8 	 0.1000 	 -0.1666 	 -0.4371
15 	 20.8 	 0.1000 	 -1.1881 	 -0.9598
16 	 20.8 	 0.1000 	 -1.1132 	 -0.1518
17 	 20.8 	 0.1000 	 -0.4839 	 -0.2798
18 	 20.8 	 0.1000 	 -0.9865 	 -0.1966
19 	 20.8 	 0.1000 	 -0.8666 	 -0.3594
20 	 20.9 	 0.1000 	 -1.4679 	 -0.3695
21 	 20.8 	 0.1000 	 -1.2568 	 -0.3921
22 	 20.9 	 0.1000 	 -1.3026 	 -0.2199
23 	 20.8 	 0.1000 	 -0.1529 	 -0.0256
24 	 20.8 	 0.1000 	 -0.8755 	 -1.3636
25 	 20.8 	 0.1000 	 -0.3966 	 -0.2812
26 	 20.8 	 0.1000 	 -1.4933 	 -0.3262
27 	 20.8 	 0.1000 	 -0.3239 	 -0.2289
