Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, opt_level='O2', out_dir='LipConvnet_cifar100_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 63.2 	 0.1000 	 0.0006 	 0.0000 	 4.7589 	 0.0094 	 0.0000 	 0.0000 	 0.0000 	 0.0453
1 	 62.6 	 0.1000 	 0.0020 	 0.0000 	 4.7689 	 0.0099 	 0.0002 	 0.0000 	 0.0000 	 0.0508
2 	 62.5 	 0.1000 	 -0.0121 	 0.0000 	 5.2477 	 0.0116 	 0.0029 	 0.0000 	 0.0000 	 0.1021
3 	 61.0 	 0.1000 	 0.0047 	 0.0000 	 5.1638 	 0.0139 	 0.0000 	 0.0000 	 0.0000 	 0.0302
4 	 62.4 	 0.1000 	 0.0025 	 0.0000 	 5.1639 	 0.0109 	 0.0049 	 0.0000 	 0.0000 	 0.1329
5 	 61.0 	 0.1000 	 0.0017 	 0.0000 	 4.9297 	 0.0107 	 0.0002 	 0.0000 	 0.0000 	 0.0626
6 	 60.9 	 0.1000 	 0.0011 	 0.0000 	 5.1267 	 0.0110 	 0.0006 	 0.0000 	 0.0000 	 0.0620
7 	 60.9 	 0.1000 	 0.0025 	 0.0000 	 4.8877 	 0.0100 	 0.0001 	 0.0000 	 0.0000 	 0.0771
8 	 60.9 	 0.1000 	 0.0011 	 0.0000 	 5.0509 	 0.0096 	 0.0003 	 0.0000 	 0.0000 	 0.0643
9 	 61.0 	 0.1000 	 0.0002 	 0.0000 	 4.9315 	 0.0101 	 0.0005 	 0.0000 	 0.0000 	 0.0718
10 	 60.8 	 0.1000 	 0.0015 	 0.0000 	 5.1416 	 0.0108 	 0.0000 	 0.0000 	 0.0000 	 0.0404
11 	 60.8 	 0.1000 	 0.0010 	 0.0000 	 5.0780 	 0.0126 	 0.0000 	 0.0000 	 0.0000 	 0.0321
12 	 60.9 	 0.1000 	 0.0015 	 0.0000 	 5.0239 	 0.0101 	 0.0028 	 0.0000 	 0.0000 	 0.1123
13 	 60.9 	 0.1000 	 -0.0022 	 0.0000 	 5.3489 	 0.0097 	 0.0003 	 0.0000 	 0.0000 	 0.0614
14 	 60.8 	 0.1000 	 -0.0006 	 0.0000 	 5.0214 	 0.0095 	 0.0000 	 0.0000 	 0.0000 	 0.0299
15 	 60.8 	 0.1000 	 0.0026 	 0.0000 	 5.1450 	 0.0095 	 0.0000 	 0.0000 	 0.0000 	 0.0449
16 	 60.8 	 0.1000 	 -0.0001 	 0.0000 	 5.1862 	 0.0099 	 0.0000 	 0.0000 	 0.0000 	 0.0431
17 	 60.8 	 0.1000 	 0.0015 	 0.0000 	 4.8883 	 0.0096 	 0.0000 	 0.0000 	 0.0000 	 0.0429
18 	 60.7 	 0.1000 	 -0.0107 	 0.0000 	 6.4694 	 0.0103 	 0.0042 	 0.0003 	 0.0000 	 0.1227
19 	 60.0 	 0.1000 	 0.0013 	 0.0000 	 5.9746 	 0.0097 	 0.0021 	 0.0001 	 0.0000 	 0.1045
20 	 60.8 	 0.1000 	 -0.0086 	 0.0000 	 6.3677 	 0.0101 	 0.0027 	 0.0000 	 0.0000 	 0.0943
21 	 61.6 	 0.1000 	 0.0002 	 0.0000 	 6.1984 	 0.0105 	 0.0086 	 0.0037 	 0.0002 	 0.2326
22 	 61.9 	 0.1000 	 0.0004 	 0.0000 	 6.0982 	 0.0100 	 0.0098 	 0.0065 	 0.0008 	 0.3187
23 	 60.7 	 0.1000 	 -0.0029 	 0.0000 	 5.5800 	 0.0100 	 0.0089 	 0.0010 	 0.0000 	 0.2203
24 	 60.8 	 0.1000 	 0.0003 	 0.0000 	 5.8271 	 0.0109 	 0.0016 	 0.0000 	 0.0000 	 0.0871
25 	 60.7 	 0.1000 	 0.0001 	 0.0000 	 5.5153 	 0.0096 	 0.0007 	 0.0000 	 0.0000 	 0.0710
26 	 60.7 	 0.1000 	 -0.0064 	 0.0000 	 5.3522 	 0.0084 	 0.0002 	 0.0000 	 0.0000 	 0.0359
27 	 60.7 	 0.1000 	 0.0012 	 0.0000 	 5.6161 	 0.0109 	 0.0006 	 0.0000 	 0.0000 	 0.0552
28 	 60.8 	 0.1000 	 0.0031 	 0.0000 	 5.3586 	 0.0103 	 0.0011 	 0.0000 	 0.0000 	 0.0844
29 	 60.8 	 0.1000 	 -0.0012 	 0.0000 	 5.1034 	 0.0091 	 0.0014 	 0.0000 	 0.0000 	 0.0894
