Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=2000, opt_level='O2', out_dir='LipConvnet_cifar10_n=2000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 9.9 	 0.1000 	 -0.0970 	 -0.2748
1 	 8.0 	 0.1000 	 -0.4633 	 -0.7134
2 	 7.1 	 0.1000 	 -0.5454 	 -0.4560
3 	 7.0 	 0.1000 	 -0.6465 	 -0.5612
4 	 7.1 	 0.1000 	 -0.6617 	 -0.5315
5 	 7.1 	 0.1000 	 -0.4055 	 -0.4503
6 	 8.8 	 0.1000 	 -0.5941 	 -0.7211
7 	 7.1 	 0.1000 	 -0.7894 	 -0.3735
8 	 7.0 	 0.1000 	 -0.6149 	 -0.6849
9 	 7.8 	 0.1000 	 -0.7388 	 -1.0399
10 	 7.1 	 0.1000 	 -0.5447 	 -0.7267
11 	 7.1 	 0.1000 	 -0.7249 	 -0.7043
12 	 7.9 	 0.1000 	 -0.6634 	 -0.7657
13 	 7.1 	 0.1000 	 -0.5884 	 -0.4643
14 	 7.1 	 0.1000 	 -0.7845 	 -0.5018
15 	 7.1 	 0.1000 	 -0.8257 	 -0.6238
16 	 7.1 	 0.1000 	 -0.7392 	 -0.6095
17 	 7.1 	 0.1000 	 -0.3990 	 -0.5418
18 	 7.9 	 0.1000 	 -0.7142 	 -0.9242
19 	 7.2 	 0.1000 	 -0.8032 	 -0.9692
20 	 8.4 	 0.1000 	 -0.7205 	 -1.0665
21 	 7.1 	 0.1000 	 -0.7876 	 -0.5517
22 	 7.1 	 0.1000 	 -0.4746 	 -0.4985
23 	 7.1 	 0.1000 	 -0.4442 	 -0.6235
24 	 7.1 	 0.1000 	 -0.4710 	 -0.5363
25 	 7.9 	 0.1000 	 -0.7229 	 -0.7496
26 	 7.1 	 0.1000 	 -0.7996 	 -0.9826
27 	 7.1 	 0.1000 	 -0.6622 	 -0.4897
28 	 7.1 	 0.1000 	 -0.7633 	 -0.6617
29 	 7.0 	 0.1000 	 -0.7693 	 -0.5814
30 	 7.0 	 0.1000 	 -0.6401 	 -1.0369
31 	 7.8 	 0.1000 	 -0.5118 	 -0.7170
32 	 7.1 	 0.1000 	 -0.6997 	 -0.8876
33 	 7.0 	 0.1000 	 -0.7330 	 -0.5483
34 	 7.1 	 0.1000 	 -0.5706 	 -0.7369
35 	 7.1 	 0.1000 	 -0.7505 	 -0.7850
36 	 7.1 	 0.1000 	 -0.5706 	 -0.6754
37 	 7.9 	 0.1000 	 -0.6926 	 -0.7001
38 	 7.1 	 0.1000 	 -0.5585 	 -0.7214
39 	 7.1 	 0.1000 	 -0.4228 	 -0.7646
40 	 7.1 	 0.1000 	 -0.5762 	 -0.6290
41 	 7.1 	 0.1000 	 -0.5376 	 -0.5811
42 	 7.1 	 0.1000 	 -0.5652 	 -0.8891
43 	 7.9 	 0.1000 	 -0.5504 	 -0.8011
